dataset_name,group,seed,metrics_path,expected_run_dir,status,command,history_run_dir,output_validation,validated_run_dir,validated_metrics,validated_val_metrics,validated_config,validated_predictions,validated_best_summary
FD001,G1,7,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_7/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_7,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G1_run.py', '--seed', '7', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/history/seed_7__20260327_223636_910842,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_7,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_7/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_7/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_7/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_7/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_7/best_summary.json
FD001,G1,21,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_21/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_21,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G1_run.py', '--seed', '21', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/history/seed_21__20260327_223731_245389,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_21,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_21/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_21/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_21/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_21/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_21/best_summary.json
FD001,G1,42,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_42/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_42,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G1_run.py', '--seed', '42', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/history/seed_42__20260327_223846_274649,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_42,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_42/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_42/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_42/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_42/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_42/best_summary.json
FD001,G1,87,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_87/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_87,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G1_run.py', '--seed', '87', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/history/seed_87__20260327_224039_398481,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_87,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_87/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_87/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_87/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_87/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_87/best_summary.json
FD001,G1,123,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_123/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_123,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G1_run.py', '--seed', '123', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/history/seed_123__20260327_224209_735004,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_123,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_123/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_123/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_123/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_123/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G1_CNN_BiLSTM_MSE/seed_123/best_summary.json
FD001,G2,7,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_7/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_7,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G2_run.py', '--seed', '7', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD', '--mc-samples-val', '10', '--mc-samples-test', '20']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/history/seed_7__20260327_224447_111336,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_7,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_7/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_7/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_7/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_7/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_7/best_summary.json
FD001,G2,21,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_21/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_21,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G2_run.py', '--seed', '21', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD', '--mc-samples-val', '10', '--mc-samples-test', '20']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/history/seed_21__20260327_224650_610304,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_21,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_21/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_21/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_21/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_21/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_21/best_summary.json
FD001,G2,42,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_42/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_42,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G2_run.py', '--seed', '42', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD', '--mc-samples-val', '10', '--mc-samples-test', '20']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/history/seed_42__20260327_224950_969815,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_42,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_42/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_42/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_42/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_42/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_42/best_summary.json
FD001,G2,87,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_87/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_87,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G2_run.py', '--seed', '87', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD', '--mc-samples-val', '10', '--mc-samples-test', '20']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/history/seed_87__20260327_225241_078359,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_87,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_87/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_87/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_87/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_87/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_87/best_summary.json
FD001,G2,123,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_123/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_123,done,"['/Users/sagawithme/.conda/envs/dl/bin/python', '/Users/sagawithme/Documents/Github/CS6516_project/src_v2/experiments_v2/G2_run.py', '--seed', '123', '--dataset', 'FD001', '--output-root', '/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD', '--mc-samples-val', '10', '--mc-samples-test', '20']",/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/history/seed_123__20260327_225435_860800,ok,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_123,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_123/test_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_123/val_metrics.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_123/config.json,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_123/predictions.csv,/Users/sagawithme/Documents/Github/CS6516_project/outputs_v2/round7_multidataset/FD001/G2_CNN_BiLSTM_MSE_MCD/seed_123/best_summary.json
